DBN,Category,Total Enrollment
05M194,Reside in temporary housing,69.0
05M194,Students with Disabilities,49.0
05M197,All Students,282.0
05M197,Attend school outside district of residence,49.0
05M197,English Language Learners,18.0
05M197,Poverty,258.0
05M197,Reside in temporary housing,67.0
05M197,Students with Disabilities,87.0
05M200,All Students,445.0
05M200,Attend school outside district of residence,54.0
05M200,English Language Learners,54.0
05M200,Poverty,383.0
05M200,Reside in temporary housing,134.0
05M200,Students with Disabilities,116.0
05M286,All Students,154.0
05M286,Attend school outside district of residence,29.0
05M286,English Language Learners,9.0
05M286,Poverty,154.0
05M286,Students with Disabilities,58.0
05M302,All Students,155.0
05M302,Attend school outside district of residence,20.0
05M302,English Language Learners,22.0
05M302,Poverty,155.0
05M302,Reside in temporary housing,42.0
05M302,Students with Disabilities,46.0
05M318,All Students,219.0
05M318,Attend school outside district of residence,87.0
05M318,Poverty,185.0
05M318,Reside in temporary housing,39.0
05M318,Students with Disabilities,33.0
05M362,All Students,290.0
05M499,Poverty,233.0
05M362,Attend school outside district of residence,224.0
05M362,English Language Learners,
05M362,Poverty,133.0
05M362,Reside in temporary housing,
05M362,Students with Disabilities,35.0
05M410,All Students,108.0
05M410,Attend school outside district of residence,17.0
05M410,English Language Learners,9.0
05M410,Poverty,108.0
05M410,Reside in temporary housing,15.0
05M410,Students with Disabilities,43.0
05M499,All Students,274.0
05M499,Attend school outside district of residence,77.0
05M499,English Language Learners,19.0
05M499,Reside in temporary housing,54.0
05M499,Students with Disabilities,52.0
05M514,All Students,214.0
05M514,Attend school outside district of residence,38.0
05M514,English Language Learners,23.0
05M514,Poverty,214.0
05M514,Reside in temporary housing,39.0
05M514,Students with Disabilities,73.0
05M517,All Students,248.0
05M517,Attend school outside district of residence,118.0
05M517,English Language Learners,6.0
05M517,Poverty,116.0
05M517,Reside in temporary housing,17.0
05M517,Students with Disabilities,32.0
05M670,All Students,165.0
06M018,Students with Disabilities,75.0
05M670,Attend school outside district of residence,55.0
05M670,English Language Learners,6.0
05M670,Poverty,126.0
05M670,Reside in temporary housing,18.0
05M670,Students with Disabilities,28.0
06M004,All Students,637.0
06M004,Attend school outside district of residence,60.0
06M004,English Language Learners,265.0
06M004,Poverty,637.0
06M004,Reside in temporary housing,69.0
06M004,Students with Disabilities,126.0
06M005,All Students,582.0
06M005,Attend school outside district of residence,34.0
06M005,English Language Learners,289.0
06M005,Poverty,582.0
06M005,Reside in temporary housing,78.0
06M005,Students with Disabilities,108.0
06M209,Students with Disabilities,36.0
06M008,All Students,514.0
06M008,Attend school outside district of residence,40.0
06M008,English Language Learners,175.0
06M008,Poverty,494.0
06M008,Reside in temporary housing,38.0
06M008,Students with Disabilities,86.0
06M018,All Students,395.0
06M018,Attend school outside district of residence,96.0
06M018,English Language Learners,174.0
06M018,Poverty,395.0
06M018,Reside in temporary housing,97.0
06M028,All Students,668.0
06M028,Attend school outside district of residence,99.0
06M028,English Language Learners,227.0
06M028,Poverty,668.0
06M028,Reside in temporary housing,249.0
06M028,Students with Disabilities,157.0
06M048,All Students,563.0
06M048,Attend school outside district of residence,62.0
06M048,English Language Learners,180.0
06M048,Poverty,533.0
06M048,Reside in temporary housing,64.0
06M048,Students with Disabilities,121.0
06M052,All Students,411.0
19K213,English Language Learners,28.0
06M052,Attend school outside district of residence,64.0
06M052,English Language Learners,130.0
06M052,Poverty,411.0
06M052,Reside in temporary housing,37.0
06M052,Students with Disabilities,75.0
06M098,All Students,522.0
06M098,Attend school outside district of residence,37.0
06M098,English Language Learners,227.0
06M098,Poverty,490.0
06M098,Reside in temporary housing,79.0
06M098,Students with Disabilities,102.0
06M103,All Students,203.0
06M103,Attend school outside district of residence,17.0
06M103,English Language Learners,91.0
06M103,Poverty,203.0
06M103,Reside in temporary housing,53.0
06M103,Students with Disabilities,44.0
06M115,All Students,516.0
06M115,Attend school outside district of residence,39.0
06M115,English Language Learners,184.0
06M115,Poverty,502.0
06M115,Reside in temporary housing,150.0
06M115,Students with Disabilities,74.0
06M128,All Students,542.0
06M128,Attend school outside district of residence,55.0
06M128,English Language Learners,178.0
06M128,Poverty,510.0
06M128,Reside in temporary housing,112.0
06M128,Students with Disabilities,96.0
06M132,All Students,441.0
06M132,Attend school outside district of residence,37.0
06M132,English Language Learners,202.0
06M132,Poverty,441.0
06M132,Reside in temporary housing,76.0
06M132,Students with Disabilities,92.0
06M143,All Students,361.0
06M143,Attend school outside district of residence,68.0
06M143,English Language Learners,186.0
06M293,English Language Learners,25.0
06M143,Poverty,361.0
06M143,Reside in temporary housing,46.0
06M143,Students with Disabilities,80.0
06M152,All Students,576.0
19K306,English Language Learners,16.0
06M152,Poverty,530.0
06M152,Reside in temporary housing,214.0
06M152,Students with Disabilities,111.0
06M153,All Students,689.0
06M153,Attend school outside district of residence,64.0
06M153,English Language Learners,214.0
06M314,Reside in temporary housing,8.0
06M153,Poverty,578.0
06M153,Reside in temporary housing,133.0
06M153,Students with Disabilities,115.0
06M173,All Students,525.0
06M173,Attend school outside district of residence,44.0
06M173,English Language Learners,93.0
06M173,Poverty,449.0
06M173,Students with Disabilities,83.0
06M178,All Students,304.0
06M178,Attend school outside district of residence,31.0
06M178,English Language Learners,42.0
06M178,Poverty,233.0
06M178,Reside in temporary housing,52.0
06M178,Students with Disabilities,76.0
06M187,All Students,802.0
06M187,Attend school outside district of residence,60.0
06M187,English Language Learners,59.0
06M187,Poverty,397.0
06M187,Reside in temporary housing,25.0
06M187,Students with Disabilities,129.0
06M189,All Students,953.0
06M189,Attend school outside district of residence,56.0
06M189,English Language Learners,300.0
06M189,Poverty,853.0
06M314,Students with Disabilities,29.0
06M189,Reside in temporary housing,107.0
06M189,Students with Disabilities,153.0
06M192,All Students,270.0
06M192,Attend school outside district of residence,33.0
06M192,English Language Learners,78.0
06M192,Poverty,258.0
06M192,Reside in temporary housing,27.0
06M192,Students with Disabilities,56.0
06M209,All Students,165.0
06M209,Attend school outside district of residence,35.0
06M209,English Language Learners,56.0
06M209,Poverty,165.0
06M209,Reside in temporary housing,31.0
06M210,All Students,428.0
06M210,Attend school outside district of residence,100.0
06M210,English Language Learners,147.0
06M210,Poverty,389.0
06M210,Reside in temporary housing,34.0
06M210,Students with Disabilities,92.0
06M218,All Students,229.0
06M218,Attend school outside district of residence,31.0
06M218,English Language Learners,112.0
06M218,Poverty,229.0
06M218,Reside in temporary housing,43.0
06M218,Students with Disabilities,45.0
19K452,English Language Learners,7.0
06M223,All Students,274.0
06M223,Attend school outside district of residence,51.0
06M223,English Language Learners,10.0
06M223,Poverty,274.0
06M223,Reside in temporary housing,13.0
06M223,Students with Disabilities,32.0
06M278,All Students,533.0
06M278,Attend school outside district of residence,80.0
06M278,English Language Learners,63.0
06M278,Poverty,347.0
06M278,Reside in temporary housing,34.0
06M278,Students with Disabilities,90.0
06M293,All Students,264.0
06M293,Attend school outside district of residence,56.0
06M293,Poverty,206.0
06M293,Reside in temporary housing,22.0
06M293,Students with Disabilities,44.0
06M311,All Students,431.0
06M311,Attend school outside district of residence,59.0
06M311,English Language Learners,96.0
06M311,Poverty,335.0
06M311,Reside in temporary housing,66.0
06M311,Students with Disabilities,58.0
06M314,All Students,270.0
06M314,Attend school outside district of residence,21.0
06M314,English Language Learners,12.0
06M314,Poverty,90.0
06M319,All Students,534.0
06M324,English Language Learners,122.0
06M319,Attend school outside district of residence,126.0
06M319,English Language Learners,164.0
06M319,Poverty,534.0
06M319,Reside in temporary housing,56.0
06M319,Students with Disabilities,98.0
06M322,All Students,319.0
06M322,Attend school outside district of residence,56.0
06M322,English Language Learners,162.0
06M322,Poverty,319.0
06M322,Reside in temporary housing,96.0
06M322,Students with Disabilities,66.0
06M346,English Language Learners,57.0
06M324,All Students,449.0
06M324,Attend school outside district of residence,89.0
06M324,Poverty,449.0
06M324,Reside in temporary housing,51.0
06M324,Students with Disabilities,104.0
06M325,All Students,225.0
06M325,Attend school outside district of residence,36.0
06M325,English Language Learners,77.0
06M325,Poverty,219.0
06M325,Reside in temporary housing,68.0
06M325,Students with Disabilities,51.0
06M326,All Students,169.0
06M326,Attend school outside district of residence,26.0
06M326,English Language Learners,71.0
06M326,Poverty,169.0
06M326,Reside in temporary housing,18.0
06M528,English Language Learners,40.0
06M326,Students with Disabilities,46.0
06M328,All Students,148.0
06M328,Attend school outside district of residence,33.0
06M328,English Language Learners,54.0
06M328,Poverty,148.0
06M328,Reside in temporary housing,9.0
06M328,Students with Disabilities,49.0
06M346,All Students,273.0
06M346,Attend school outside district of residence,53.0
06M346,Poverty,257.0
06M346,Reside in temporary housing,33.0
06M346,Students with Disabilities,58.0
06M348,All Students,339.0
07X154,English Language Learners,41.0
06M348,Attend school outside district of residence,58.0
06M348,English Language Learners,79.0
06M348,Poverty,339.0
06M348,Reside in temporary housing,46.0
06M348,Students with Disabilities,62.0
06M349,All Students,137.0
06M349,Attend school outside district of residence,23.0
06M349,English Language Learners,124.0
06M349,Poverty,137.0
06M349,Reside in temporary housing,36.0
06M366,All Students,458.0
06M366,Attend school outside district of residence,67.0
06M366,English Language Learners,86.0
06M366,Poverty,405.0
06M366,Reside in temporary housing,32.0
06M366,Students with Disabilities,67.0
06M368,All Students,216.0
06M368,Attend school outside district of residence,38.0
06M368,English Language Learners,35.0
06M368,Poverty,166.0
06M368,Reside in temporary housing,31.0
06M368,Students with Disabilities,23.0
06M513,All Students,175.0
06M513,Attend school outside district of residence,41.0
06M513,English Language Learners,31.0
06M513,Poverty,103.0
06M513,Reside in temporary housing,26.0
06M513,Students with Disabilities,55.0
06M528,All Students,206.0
06M528,Attend school outside district of residence,33.0
06M528,Poverty,206.0
06M528,Reside in temporary housing,37.0
06M528,Students with Disabilities,46.0
07X001,All Students,652.0
07X001,Attend school outside district of residence,71.0
07X001,English Language Learners,173.0
07X001,Poverty,645.0
07X001,Reside in temporary housing,134.0
07X001,Students with Disabilities,119.0
07X005,All Students,727.0
07X005,Attend school outside district of residence,103.0
07X005,English Language Learners,179.0
07X005,Poverty,712.0
07X005,Reside in temporary housing,134.0
07X005,Students with Disabilities,157.0
07X018,All Students,589.0
07X018,Attend school outside district of residence,50.0
07X029,English Language Learners,100.0
07X018,English Language Learners,163.0
07X018,Poverty,561.0
07X018,Reside in temporary housing,139.0
